Time Shifted (hrs),0% Renewables,5% Renewables,10% Renewables,15% Renewables,20% Renewables,25% Renewables,30% Renewables,35% Renewables,40% Renewables,45% Renewables,50% Renewables,55% Renewables,60% Renewables,65% Renewables,70% Renewables,75% Renewables,80% Renewables,85% Renewables,90% Renewables,95% Renewables,100% Renewables
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757591687047045,0.007349077904944345,0.0466714925794864,0.04248977480188676,0.046498350472677585,0.07605139568284214,0.07199227589234367,0.06454822099217113,0.084503192614815,0.12854066194297203,0.1334663652154502
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015806618270820475,0.02159855019197834,0.029004711963309282,0.03649718954091776,0.043163869616633266,0.06507410523748318,0.067901604071021,0.06849503471186043,0.0640546106062684,0.08592795141430506,0.10664039072073865
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011109149286935353,0.018588090564882517,0.04093646434240543,0.010912379112542338,0.0458335306531815,0.07013484085537802,0.05544539602397343,0.054090123778599807,0.07790588448761986,0.09684900485659735,0.14022396105352497
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012978208076672167,0.01684008255665481,0.04084768251281127,0.02708438717132245,0.03127599696629431,0.03901864138185492,0.0635123766645242,0.06450254536477677,0.041837057769284126,0.0690152279382607,0.08848660328089897
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012997211072772678,0.018642014695004455,0.0062377271753019815,0.020868095770683038,0.032437701827193875,0.03485911171627368,0.05161022435382222,0.032909438752976174,0.07171273055252901,0.07147469657394105,0.08653800980321844
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007426810394872928,0.01252307918520529,0.03743774431534998,0.018362240956017878,0.018657703422928433,0.018145729381821976,0.043881587392839816,0.037340703694723705,0.062448050495702664,0.054876377260086165,0.0844777968934766
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013022271151224766,0.008288675011108996,0.030969631088646303,0.01229384632290645,0.029102110144697414,0.0280730162905776,0.0298907786165103,0.03078036240965926,0.046793292462638886,0.1004354113916046,0.07587448715926987
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003713869904838678,0.010775904069621159,0.027769805513356297,0.01922830784570381,0.02501332713780212,0.020728762939719054,0.0521436751151544,0.036850522256130586,0.06983768532277976,0.06507660981583242,0.07400650360985414
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955781613743488,0.014716595607059105,0.026141809173905975,0.0204349125446868,0.03737875081618769,0.030037351777602105,0.04853143955619983,0.05040717872385719,0.04133892378378468,0.09507248556623679,0.09326721109932797
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007846738301288169,0.024354318779840515,0.03851122659688255,0.024941589410453047,0.03733755391608029,0.037414933934875765,0.05253450043686149,0.05295236278857639,0.0727375332672536,0.09074082554384778,0.07273573413470115
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055700278386426995,0.021064074729563398,0.04485285651384688,0.03393131162196952,0.033224126296328364,0.03764046613559569,0.054440311196427504,0.06659286807488568,0.040049671992063884,0.10306415789215002,0.08703905232969063
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058086181176981964,0.02675404154707501,0.028008550886938377,0.07289797245655427,0.04341402758812553,0.034713524438837004,0.06987611055030347,0.09848436741816906,0.05457231812995899,0.0780641061838079,0.12608667789225375
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008136420924915271,0.02112696596984141,0.0528300755328724,0.03639148605422337,0.02314511478466267,0.0396265733415482,0.07566617450564901,0.08092687489843713,0.05182042678302993,0.07919306775507343,0.07662089223012945
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008048609593754816,0.019306111577968927,0.018778962264873078,0.08101664523746338,0.018695830924328156,0.05499428092979684,0.05121182820832661,0.09368285901933815,0.08896254974769528,0.08373945001666906,0.1160295912617514
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032084182590313938,0.02518892477367075,0.03141950626150721,0.06355572508670042,0.02967112116832231,0.03104601805054867,0.08924639526524097,0.06472913537872024,0.06961414027384383,0.06827173327277189,0.10802491417454375
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009954275420166143,0.02413511750703883,0.03483773827719126,0.05496748473366008,0.026013754634570552,0.05271250252853063,0.05861232630705404,0.08413026995197238,0.09486887669537601,0.07563719244001796,0.09277460076951796
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005828098929944726,0.024403223729051977,0.028667641279397017,0.05386427421960878,0.030272031959537475,0.04515474976018005,0.04128904281406646,0.09709730938481059,0.08995960224845984,0.04618915176664626,0.08597359244058998
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588218497752092,0.022812083293800422,0.015435104927653582,0.04723787188923266,0.026828633766809103,0.03533451997906341,0.04990086627086343,0.08641252245745502,0.11276402059187902,0.07854196292858989,0.0733609558578934
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006357426260332828,0.02031368523530422,0.040852899340936055,0.05321483534886832,0.036402737380844985,0.026149444790661888,0.03888137364967944,0.07348327657883917,0.09854888388948982,0.05538000325658104,0.07517550773826363
